,dataset,type,step,accuracy,loss
310,audio-mnist,cls,155,99.21875,0.024232877418398857
311,audio-mnist,ssh,155,100.0,0.000794125662650913
312,audio-mnist,cls,156,100.0,0.011706906370818615
313,audio-mnist,ssh,156,100.0,0.0005025991122238338
314,audio-mnist,cls,157,100.0,0.021938692778348923
315,audio-mnist,ssh,157,100.0,0.00036158753209747374
316,audio-mnist,cls,158,98.4375,0.05720062553882599
317,audio-mnist,ssh,158,100.0,0.0001983545662369579
318,audio-mnist,cls,159,100.0,0.014022395946085453
319,audio-mnist,ssh,159,100.0,0.003383875824511051
320,audio-mnist,cls,160,99.21875,0.02008317969739437
321,audio-mnist,ssh,160,100.0,0.0005143544403836131
322,audio-mnist,cls,161,99.21875,0.031965240836143494
323,audio-mnist,ssh,161,100.0,0.0009365773876197636
324,audio-mnist,cls,162,100.0,0.011303747072815895
325,audio-mnist,ssh,162,100.0,0.00037000796874053776
326,audio-mnist,cls,163,100.0,0.017617758363485336
327,audio-mnist,ssh,163,100.0,0.00028041243785992265
328,audio-mnist,cls,164,100.0,0.01520755048841238
329,audio-mnist,ssh,164,100.0,0.00033092786907218397
330,audio-mnist,cls,165,99.21875,0.047506559640169144
331,audio-mnist,ssh,165,100.0,0.00024040120479185134
332,audio-mnist,cls,166,100.0,0.011817485094070435
333,audio-mnist,ssh,166,100.0,0.00011986379831796512
334,audio-mnist,cls,167,99.21875,0.03331670165061951
335,audio-mnist,ssh,167,100.0,0.0009658253402449191
336,audio-mnist,cls,168,100.0,0.00800049677491188
337,audio-mnist,ssh,168,99.8046875,0.0039975750260055065
338,audio-mnist,cls,169,100.0,0.019267890602350235
339,audio-mnist,ssh,169,100.0,0.0005719554610550404
340,audio-mnist,cls,170,99.21875,0.02441433072090149
341,audio-mnist,ssh,170,100.0,0.0005831785383634269
342,audio-mnist,cls,171,100.0,0.011771556921303272
343,audio-mnist,ssh,171,100.0,0.0006033768295310438
344,audio-mnist,cls,172,98.4375,0.0320315957069397
345,audio-mnist,ssh,172,100.0,0.00041350212995894253
346,audio-mnist,cls,173,98.4375,0.0309047382324934
347,audio-mnist,ssh,173,100.0,0.0001226103922817856
348,audio-mnist,cls,174,100.0,0.005798574537038803
349,audio-mnist,ssh,174,100.0,0.0003854336100630462
350,audio-mnist,cls,175,99.21875,0.02906339056789875
351,audio-mnist,ssh,175,100.0,0.0001305401383433491
352,audio-mnist,cls,176,98.4375,0.04904957488179207
353,audio-mnist,ssh,176,100.0,0.00020359104382805526
354,audio-mnist,cls,177,98.4375,0.04011286050081253
355,audio-mnist,ssh,177,100.0,0.0008666160283610225
356,audio-mnist,cls,178,99.21875,0.04241994023323059
357,audio-mnist,ssh,178,100.0,0.0007235793163999915
358,audio-mnist,cls,179,99.21875,0.025328509509563446
359,audio-mnist,ssh,179,100.0,0.00015920712030492723
360,audio-mnist,cls,180,98.4375,0.04079890996217728
361,audio-mnist,ssh,180,100.0,0.00029420494684018195
362,audio-mnist,cls,181,100.0,0.010291469283401966
363,audio-mnist,ssh,181,100.0,0.00030339998193085194
364,audio-mnist,cls,182,99.21875,0.021463191136717796
365,audio-mnist,ssh,182,100.0,0.00017590849893167615
366,audio-mnist,cls,183,100.0,0.00860380008816719
367,audio-mnist,ssh,183,100.0,0.0002909214235842228
368,audio-mnist,cls,184,99.21875,0.024759408086538315
369,audio-mnist,ssh,184,100.0,0.00011854514013975859
370,audio-mnist,cls,185,97.65625,0.04286440461874008
371,audio-mnist,ssh,185,100.0,0.0006828402983956039
372,audio-mnist,cls,186,98.4375,0.025867506861686707
373,audio-mnist,ssh,186,100.0,0.0001850841799750924
374,audio-mnist,cls,187,99.21875,0.015504414215683937
375,audio-mnist,ssh,187,100.0,0.0003635346074588597
376,audio-mnist,cls,188,100.0,0.014221814461052418
377,audio-mnist,ssh,188,100.0,9.948280057869852e-05
378,audio-mnist,cls,189,100.0,0.014868524856865406
379,audio-mnist,ssh,189,100.0,0.0003779250546358526
380,audio-mnist,cls,190,100.0,0.021426204591989517
381,audio-mnist,ssh,190,100.0,0.0005137631669640541
382,audio-mnist,cls,191,100.0,0.007544021587818861
383,audio-mnist,ssh,191,100.0,0.0001001134078251198
384,audio-mnist,cls,192,99.21875,0.02056274749338627
385,audio-mnist,ssh,192,100.0,0.00021852874488104135
386,audio-mnist,cls,193,98.4375,0.04457632079720497
387,audio-mnist,ssh,193,100.0,0.0012102790642529726
388,audio-mnist,cls,194,100.0,0.012845666147768497
389,audio-mnist,ssh,194,100.0,0.0003843001904897392
390,audio-mnist,cls,195,99.21875,0.014054211787879467
391,audio-mnist,ssh,195,100.0,0.00012892299855593592
392,audio-mnist,cls,196,100.0,0.009968125261366367
393,audio-mnist,ssh,196,100.0,0.0005759939667768776
394,audio-mnist,cls,197,99.21875,0.028040502220392227
395,audio-mnist,ssh,197,100.0,0.0006417213007807732
396,audio-mnist,cls,198,99.21875,0.023715168237686157
397,audio-mnist,ssh,198,100.0,0.00014445098349824548
398,audio-mnist,cls,199,100.0,0.012787314131855965
399,audio-mnist,ssh,199,100.0,0.00017386541003361344
400,audio-mnist,cls,200,100.0,0.006036385893821716
401,audio-mnist,ssh,200,100.0,0.00015822530258446932
402,audio-mnist,cls,201,100.0,0.004443060606718063
403,audio-mnist,ssh,201,100.0,0.00029786283266730607
404,audio-mnist,cls,202,99.21875,0.09769187122583389
405,audio-mnist,ssh,202,100.0,0.00019270824850536883
406,audio-mnist,cls,203,98.4375,0.01828579790890217
407,audio-mnist,ssh,203,100.0,0.00031367604970000684
408,audio-mnist,cls,204,100.0,0.01302433293312788
409,audio-mnist,ssh,204,100.0,0.00015598749450873584
410,audio-mnist,cls,205,100.0,0.009407100267708302
411,audio-mnist,ssh,205,100.0,0.00020087530720047653
412,audio-mnist,cls,206,100.0,0.02045648731291294
413,audio-mnist,ssh,206,100.0,0.000268960720859468
414,audio-mnist,cls,207,99.21875,0.018290573731064796
415,audio-mnist,ssh,207,100.0,0.001097974251024425
416,audio-mnist,cls,208,100.0,0.011977242305874825
417,audio-mnist,ssh,208,100.0,0.002148236148059368
418,audio-mnist,cls,209,99.21875,0.016862835735082626
419,audio-mnist,ssh,209,100.0,0.0001492880837759003
420,audio-mnist,cls,210,99.21875,0.02117478847503662
421,audio-mnist,ssh,210,100.0,0.00020464004774112254
422,audio-mnist,cls,211,99.21875,0.021774593740701675
423,audio-mnist,ssh,211,100.0,0.0009248047135770321
424,audio-mnist,cls,212,100.0,0.009813647717237473
425,audio-mnist,ssh,212,100.0,0.0009336812072433531
426,audio-mnist,cls,213,99.21875,0.02924300916492939
427,audio-mnist,ssh,213,100.0,0.00021400047990027815
428,audio-mnist,cls,214,99.21875,0.028003240004181862
429,audio-mnist,ssh,214,100.0,0.0005386690609157085
430,audio-mnist,cls,215,100.0,0.009923195466399193
431,audio-mnist,ssh,215,100.0,0.0008709153044037521
432,audio-mnist,cls,216,99.21875,0.023900510743260384
433,audio-mnist,ssh,216,99.8046875,0.0030239317566156387
434,audio-mnist,cls,217,99.21875,0.01836063712835312
435,audio-mnist,ssh,217,100.0,6.76270792610012e-05
436,audio-mnist,cls,218,99.21875,0.022428467869758606
437,audio-mnist,ssh,218,100.0,0.00039753393502905965
438,audio-mnist,cls,219,100.0,0.011815331876277924
439,audio-mnist,ssh,219,100.0,0.00010495607421034947
440,audio-mnist,cls,220,99.21875,0.021508295089006424
441,audio-mnist,ssh,220,100.0,0.0012456134427338839
442,audio-mnist,cls,221,99.21875,0.011515737511217594
443,audio-mnist,ssh,221,100.0,0.00015282558160834014
444,audio-mnist,cls,222,99.21875,0.01574932597577572
445,audio-mnist,ssh,222,100.0,0.0001859544136095792
446,audio-mnist,cls,223,99.21875,0.07272357493638992
447,audio-mnist,ssh,223,100.0,0.00039770835428498685
448,audio-mnist,cls,224,98.4375,0.028353286907076836
449,audio-mnist,ssh,224,100.0,0.00029006783734075725
450,audio-mnist,cls,225,99.21875,0.02893749810755253
451,audio-mnist,ssh,225,100.0,0.0017953648930415511
452,audio-mnist,cls,226,100.0,0.015597495250403881
453,audio-mnist,ssh,226,100.0,0.0011421001981943846
454,audio-mnist,cls,227,99.21875,0.02098565362393856
455,audio-mnist,ssh,227,100.0,0.0006111215334385633
456,audio-mnist,cls,228,98.4375,0.03225409984588623
457,audio-mnist,ssh,228,100.0,0.0006670908769592643
458,audio-mnist,cls,229,100.0,0.01326755341142416
459,audio-mnist,ssh,229,100.0,0.0010657907696440816
460,audio-mnist,cls,230,100.0,0.014735549688339233
461,audio-mnist,ssh,230,100.0,0.0008451862959191203
462,audio-mnist,cls,231,100.0,0.01368433702737093
463,audio-mnist,ssh,231,100.0,0.0002579455613158643
464,audio-mnist,cls,232,99.21875,0.013854226097464561
465,audio-mnist,ssh,232,100.0,0.0002662752813193947
466,audio-mnist,cls,233,98.4375,0.04273703694343567
467,audio-mnist,ssh,233,100.0,0.00014335481682792306
468,audio-mnist,cls,234,99.21875,0.025520101189613342
